id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled
39,Turismo,Guía Oficial de Turismo,Abc Informática,Lima         ,Instituto,Privada,3.0,2200.0,50.0,0.0,SI,10.0,20.0,10.0
40,Educación Primaria,Educación Primaria,Abraham Valdelomar,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
41,Educación Secundaria,Educación Secundaria - Matemática,Abraham Valdelomar,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
42,Educación Física,Educación Física,Abraham Valdelomar,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
43,Ciencias de la Computación,Computación e Informática,Abraham Valdelomar,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
44,Administración de Empresas,Administración de Empresas,Acción Comunitaria,Callao       ,Instituto,Privada,3.0,1470.0,36.0,0.0,SI,35.0,95.0,143.0
45,Secretariado,Secretariado Ejecutivo,Acip,San Martín   ,Instituto,Privada,3.0,1520.0,76.0,0.0,SI,20.0,26.0,42.0
46,Contabilidad y Finanzas,Contabilidad,Acip,San Martín   ,Instituto,Privada,3.0,0.0,0.0,0.0,NO,0.0,0.0,30.0
47,Ciencias de la Computación,Computación e Informática,Acomayo,Cusco        ,Instituto,Pública,3.0,160.0,100.0,0.0,SI,28.0,28.0,48.0
48,Ciencias de la Computación,Computación e Informática,Acora,Puno         ,Instituto,Pública,3.0,170.0,56.0,0.0,SI,39.0,69.0,123.0
49,Agropecuaria,Producción Agropecuaria,Acora,Puno         ,Instituto,Pública,3.0,170.0,83.0,0.0,SI,20.0,24.0,52.0
50,Enfermería,Enfermería Técnica,Acora,Puno         ,Instituto,Pública,3.0,170.0,100.0,0.0,SI,29.0,29.0,69.0
51,Educación Inicial,Educación Inicial,Ada A. Byron,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
52,Educación Primaria,Educación Primaria,Ada A. Byron,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
53,Educación Secundaria,Educación Secundaria - Matemática,Ada A. Byron,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
54,Educación Física,Educación Física,Ada A. Byron,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
55,Idiomas,Idiomas,Ada A. Byron,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
56,Administración de Empresas,Administración de Negocios,Ada A. Byron,Ica          ,Instituto,Privada,3.0,1370.0,92.0,0.0,SI,77.0,83.0,85.0
57,Secretariado,Secretariado Ejecutivo Bilingüe,Ada A. Byron,Ica          ,Instituto,Privada,3.0,1370.0,92.0,0.0,SI,77.0,83.0,17.0
58,Contabilidad y Finanzas,Contabilidad,Ada A. Byron,Ica          ,Instituto,Privada,3.0,1370.0,92.0,0.0,SI,77.0,83.0,38.0
59,Ciencias de la Computación,Computación e Informática,Ada A. Byron,Ica          ,Instituto,Privada,3.0,1370.0,92.0,0.0,SI,77.0,83.0,40.0
60,Ciencias de la Computación,Computación e Informática,Ada A. Byron,Ica          ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
61,Enfermería,Enfermería Técnica,Ada A. Byron,Ica          ,Instituto,Privada,3.0,1370.0,0.0,0.0,SI,0.0,0.0,0.0
62,Administración de Empresas,Administración,Administracion y Negocios,Lima         ,Instituto,Privada,3.0,7800.0,0.0,0.0,NO,0.0,0.0,0.0
63,Contabilidad y Finanzas,Contabilidad,Adolfo Vienrich,Junín        ,Instituto,Pública,3.0,220.0,44.0,0.0,SI,40.0,90.0,106.0
64,Ciencias de la Computación,Computación e Informática,Adolfo Vienrich,Junín        ,Instituto,Pública,3.0,220.0,80.0,0.0,SI,40.0,50.0,96.0
65,Ingeniería Eléctrica,Electrotécnia Industrial,Adolfo Vienrich,Junín        ,Instituto,Pública,3.0,330.0,61.0,0.0,SI,40.0,65.0,94.0
66,Ingeniería Electrónica,Electrónica Industrial,Adolfo Vienrich,Junín        ,Instituto,Pública,3.0,330.0,71.0,0.0,SI,27.0,38.0,84.0
67,Ingeniería Mecánica,Mecánica Automotriz,Adolfo Vienrich,Junín        ,Instituto,Pública,3.0,330.0,76.0,0.0,SI,23.0,30.0,73.0
68,Ingeniería Mecánica,Mecánica de Producción,Adolfo Vienrich,Junín        ,Instituto,Pública,3.0,330.0,58.0,0.0,SI,40.0,68.0,99.0
69,Ingeniería Civil,Construcción Civil,Adolfo Vienrich,Junín        ,Instituto,Pública,3.0,330.0,56.0,0.0,SI,40.0,71.0,101.0
70,Farmacia y Bioquímica,Farmacia,Adolfo Vienrich,Junín        ,Instituto,Pública,3.0,330.0,84.0,0.0,SI,37.0,44.0,97.0
71,Suboficiales de las Fuerzas Armadas,Defensa Aérea,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,72.0,0.0,NO,29.0,40.0,29.0
72,Suboficiales de las Fuerzas Armadas,Fuerzas Especiales,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,85.0,0.0,NO,30.0,35.0,30.0
73,Suboficiales de las Fuerzas Armadas,Inteligencia,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
74,Suboficiales de las Fuerzas Armadas,Seguridad e Instrucción Militar,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
75,Administración de Empresas,Abastecimiento,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,60.0,0.0,NO,18.0,30.0,18.0
76,Otras Carreras de Administración,Administrativo,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,66.0,0.0,NO,16.0,24.0,16.0
77,Contabilidad y Finanzas,Finanzas,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,64.0,0.0,NO,16.0,25.0,16.0
78,Meteorología,Meteorología,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,60.0,0.0,NO,17.0,28.0,0.0
79,Ciencias de la Computación,Informática,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,60.0,0.0,NO,15.0,25.0,15.0
80,Ingeniería Mecánica,"Mantenimiento de Motores, Hélices y Unidad de Potencia Auxiliar",Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
81,Ingeniería Mecánica,Mantenimiento de Vehículos Motorizados y Equipos Contra Incendio,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
82,Ingeniería Mecánica,Mantenimiento y Operación de Armamento y Equipos Auxiliares,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
83,Ingeniería Civil,Aerofotografía,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Lima         ,Instituto,Pública,3.0,0.0,65.0,0.0,NO,15.0,23.0,15.0
