id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled
1989,Agropecuaria,Administración de Negocios Agropecuarios,Juan Esteban López Cruz,Piura        ,Instituto,Pública,3.0,180.0,100.0,0.0,SI,22.0,22.0,47.0
1990,Contabilidad y Finanzas,Contabilidad,Juan Huarin,Áncash       ,Instituto,Pública,3.0,120.0,36.0,0.0,NO,44.0,120.0,211.0
1991,Enfermería,Enfermería Técnica,Juan Huarin,Áncash       ,Instituto,Pública,3.0,120.0,91.0,0.0,NO,42.0,46.0,218.0
1992,Administración de Empresas,Administración de Empresas,Juan José Farfán Céspedes,Piura        ,Instituto,Pública,3.0,300.0,55.0,0.0,NO,40.0,72.0,104.0
1993,Secretariado,Secretariado Ejecutivo,Juan José Farfán Céspedes,Piura        ,Instituto,Pública,3.0,300.0,0.0,0.0,NO,0.0,0.0,36.0
1994,Contabilidad y Finanzas,Contabilidad,Juan José Farfán Céspedes,Piura        ,Instituto,Pública,3.0,300.0,100.0,0.0,NO,40.0,40.0,103.0
1995,Ciencias de la Computación,Computación e Informática,Juan José Farfán Céspedes,Piura        ,Instituto,Pública,3.0,300.0,97.0,0.0,SI,70.0,72.0,200.0
1996,Ingeniería Mecánica,Mecánica Automotriz,Juan José Farfán Céspedes,Piura        ,Instituto,Pública,3.0,300.0,64.0,0.0,SI,40.0,62.0,108.0
1997,Administración de Empresas,Administración de Empresas,Juan Mejía Baca,Lambayeque   ,Instituto,Privada,3.0,320.0,66.0,1493.0,SI,127.0,190.0,127.0
1998,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Empresas Turísticas y Hoteleras,Juan Mejía Baca,Lambayeque   ,Instituto,Privada,4.0,240.0,0.0,0.0,SI,0.0,0.0,0.0
1999,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Gastronomía y Arte Culinario,Juan Mejía Baca,Lambayeque   ,Instituto,Privada,3.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2000,Contabilidad y Finanzas,Contabilidad,Juan Mejía Baca,Lambayeque   ,Instituto,Privada,3.0,240.0,62.0,1732.0,SI,69.0,110.0,69.0
2001,Ciencias de la Computación,Computación e Informática,Juan Mejía Baca,Lambayeque   ,Instituto,Privada,3.0,240.0,50.0,0.0,SI,55.0,110.0,55.0
2002,Educación Inicial,Educación Inicial,Juan Pablo II,Junín        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2003,Educación Primaria,Educación Primaria,Juan Pablo II,Junín        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2004,Educación Secundaria,Educación Secundaria - Comunicación,Juan Pablo II,Junín        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2005,Educación Secundaria,Educación Secundaria - Matemática,Juan Pablo II,Junín        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2006,Educación Física,Educación Física,Juan Pablo II,Junín        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2007,Educación Inicial,Educación Inicial,Juan Pablo II,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2008,Educación Primaria,Educación Primaria,Juan Pablo II,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2009,Educación Primaria,Educación Primaria,Juan Pablo II (Antes Jesús Nazareno),Ayacucho     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2010,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",Juan Pablo II (Antes Jesús Nazareno),Ayacucho     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2011,Educación Secundaria,Educación Secundaria - Comunicación,Juan Pablo II (Antes Jesús Nazareno),Ayacucho     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2012,Educación Secundaria,Educación Secundaria - Matemática,Juan Pablo II (Antes Jesús Nazareno),Ayacucho     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2013,Educación Inicial,Educación Inicial,Juan Pablo Vizcardo y Guzmán,Arequipa     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2014,Educación Primaria,Educación Primaria,Juan Pablo Vizcardo y Guzmán,Arequipa     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2015,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",Juan Pablo Vizcardo y Guzmán,Arequipa     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2016,Educación Secundaria,Educación Secundaria - Ciencias Sociales,Juan Pablo Vizcardo y Guzmán,Arequipa     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2017,Educación Secundaria,Educación Secundaria - Comunicación,Juan Pablo Vizcardo y Guzmán,Arequipa     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2018,Educación Secundaria,Educación Secundaria - Matemática,Juan Pablo Vizcardo y Guzmán,Arequipa     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2019,Educación Física,Educación Física,Juan Pablo Vizcardo y Guzmán,Arequipa     ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2020,Contabilidad y Finanzas,Contabilidad,Juan Velasco Alvarado,Lima         ,Instituto,Pública,3.0,360.0,84.0,0.0,SI,81.0,96.0,76.0
2021,Ciencias de la Computación,Computación e Informática,Juan Velasco Alvarado,Lima         ,Instituto,Pública,3.0,360.0,98.0,0.0,SI,69.0,70.0,54.0
2022,Ingeniería Mecánica,Mecánica Automotriz,Juan Velasco Alvarado,Lima         ,Instituto,Pública,3.0,360.0,92.0,0.0,SI,25.0,27.0,21.0
2023,Enfermería,Enfermería Técnica,Juan Velasco Alvarado,Lima         ,Instituto,Pública,3.0,360.0,100.0,0.0,SI,46.0,46.0,40.0
2024,Farmacia y Bioquímica,Farmacia,Juan Velasco Alvarado,Lima         ,Instituto,Pública,3.0,360.0,96.0,0.0,SI,53.0,55.0,50.0
2025,Educación Inicial,Educación Inicial,Juan XXIII,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2026,Educación Primaria,Educación Primaria,Juan XXIII,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2027,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",Juan XXIII,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2028,Educación Secundaria,Educación Secundaria - Ciencias Sociales,Juan XXIII,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2029,Educación Secundaria,Educación Secundaria - Matemática,Juan XXIII,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2030,Educación Física,Educación Física,Juan XXIII,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2031,Idiomas,Idiomas,Juan XXIII,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2032,Ciencias de la Computación,Computación e Informática,Juan XXIII,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2033,Administración de Empresas,Administración de Empresas,Juana María Condesa,Arequipa     ,Instituto,Privada,3.0,130.0,97.0,0.0,SI,34.0,35.0,30.0
2034,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,Juana María Condesa,Arequipa     ,Instituto,Privada,3.0,200.0,0.0,0.0,SI,0.0,0.0,0.0
2035,Ingeniería Mecánica,Mecánica de Producción,Juana María Condesa,Arequipa     ,Instituto,Privada,3.0,0.0,84.0,0.0,NO,16.0,19.0,41.0
2036,Ingeniería Civil,Construcción Civil,Juana María Condesa,Arequipa     ,Instituto,Privada,3.0,200.0,0.0,0.0,SI,0.0,0.0,0.0
2037,Educación Inicial,Educación Inicial,Juana Moreno,Huánuco      ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2038,Educación Primaria,Educación Primaria,Juana Moreno,Huánuco      ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2039,Educación Secundaria,Educación Secundaria - Comunicación,Juana Moreno,Huánuco      ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2040,Contabilidad y Finanzas,Contabilidad,Juanjui,San Martín   ,Instituto,Privada,3.0,1640.0,98.0,0.0,SI,190.0,192.0,425.0
2041,Enfermería,Enfermería Técnica,Juanjui,San Martín   ,Instituto,Privada,3.0,1640.0,96.0,0.0,SI,54.0,56.0,180.0
2042,Educación Primaria,Educación Primaria,Julcán,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2043,Educación Inicial,Educación Inicial,Juli,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2044,Educación Inicial,Educación Inicial (Intercultural y Bilingüe),Juli,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2045,Educación Primaria,Educación Primaria,Juli,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2046,Educación Primaria,Educación Primaria (Intercultural y Bilingüe),Juli,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2047,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",Juli,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2048,Educación Secundaria,Educación Secundaria - Ciencias Sociales,Juli,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2049,Educación Secundaria,Educación Secundaria - Comunicación,Juli,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2050,Administración de Empresas,Administración de Empresas,Juli,Puno         ,Instituto,Pública,3.0,110.0,0.0,0.0,SI,0.0,0.0,0.0
2051,Ciencias de la Computación,Computación e Informática,Juli,Puno         ,Instituto,Pública,3.0,110.0,0.0,0.0,SI,0.0,0.0,0.0
2052,Ingeniería Pesquera,Tecnología Pesquera,Juli,Puno         ,Instituto,Pública,3.0,110.0,0.0,0.0,SI,0.0,0.0,0.0
2053,Agropecuaria,Producción Agropecuaria,Juli,Puno         ,Instituto,Pública,3.0,110.0,0.0,0.0,SI,0.0,0.0,0.0
2054,Enfermería,Enfermería Técnica,Juli,Puno         ,Instituto,Pública,3.0,110.0,0.0,0.0,SI,0.0,0.0,0.0
2055,Educación Inicial,Educación Inicial,Juliaca,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2056,Educación Primaria,Educación Primaria,Juliaca,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2057,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",Juliaca,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2058,Educación Secundaria,Educación Secundaria - Ciencias Sociales,Juliaca,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2059,Educación Secundaria,Educación Secundaria - Comunicación,Juliaca,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2060,Educación Secundaria,Educación Secundaria - Matemática,Juliaca,Puno         ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2061,Educación Artística,Educación Artística,Juliaca,Puno         ,Instituto,Pública,5.0,,100.0,0.0,SI,16.0,16.0,31.0
2062,Educación Artística,Educación Danza,Juliaca,Puno         ,Instituto,Pública,5.0,,100.0,0.0,SI,20.0,20.0,44.0
2063,Educación Artística,Educación Musical,Juliaca,Puno         ,Instituto,Pública,5.0,,30.0,0.0,SI,25.0,81.0,79.0
2064,Artes,Artes Plásticas y Visuales,Juliaca,Puno         ,Instituto,Pública,5.0,,100.0,0.0,SI,6.0,6.0,13.0
2065,Música,Música,Juliaca,Puno         ,Instituto,Pública,5.0,,90.0,0.0,SI,19.0,21.0,59.0
2066,Administración de Empresas,Administración de Empresas,Julio César Tello,Lima         ,Instituto,Pública,3.0,300.0,50.0,0.0,SI,80.0,159.0,206.0
2067,Secretariado,Secretariado Ejecutivo,Julio César Tello,Lima         ,Instituto,Pública,3.0,300.0,100.0,0.0,SI,63.0,63.0,152.0
2068,Contabilidad y Finanzas,Contabilidad,Julio César Tello,Lima         ,Instituto,Pública,3.0,300.0,42.0,0.0,SI,80.0,188.0,189.0
2069,Ciencias de la Computación,Computación e Informática,Julio César Tello,Lima         ,Instituto,Pública,3.0,300.0,76.0,0.0,SI,80.0,105.0,173.0
2070,Ingeniería Eléctrica,Electrotécnia Industrial,Julio César Tello,Lima         ,Instituto,Pública,3.0,300.0,100.0,0.0,SI,70.0,70.0,140.0
2071,Ingeniería Mecánica,Mecánica Automotriz,Julio César Tello,Lima         ,Instituto,Pública,3.0,300.0,100.0,0.0,SI,48.0,48.0,107.0
2072,Ingeniería Mecánica,Mecánica de Producción,Julio César Tello,Lima         ,Instituto,Pública,3.0,300.0,100.0,0.0,SI,31.0,31.0,81.0
2073,Educación Física,Educación Física,Kenneth Cooper,Junín        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2074,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Empresas Turísticas y Hoteleras,Khipu,Cusco        ,Instituto,Privada,4.0,2700.0,93.0,1746.0,SI,165.0,176.0,759.0
2075,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Gastronomía y Arte Culinario,Khipu,Cusco        ,Instituto,Privada,3.0,4980.0,96.0,1746.0,SI,26.0,27.0,61.0
2076,Negocios Internacionales,Administración de Negocios Internacionales,Khipu,Cusco        ,Instituto,Privada,3.0,2700.0,96.0,0.0,SI,156.0,161.0,574.0
2077,Contabilidad y Finanzas,Contabilidad,Khipu,Cusco        ,Instituto,Privada,3.0,2700.0,95.0,1848.0,SI,323.0,337.0,1079.0
2078,Ciencias de la Computación,Computación e Informática,Khipu,Cusco        ,Instituto,Privada,3.0,2700.0,93.0,0.0,SI,86.0,92.0,407.0
2079,Turismo,Guía Oficial de Turismo,Khipu,Cusco        ,Instituto,Privada,3.0,2700.0,93.0,1571.0,SI,117.0,125.0,401.0
2080,Ingeniería Civil,Construcción Civil,Kimbiri,Cusco        ,Instituto,Pública,3.0,200.0,44.0,0.0,NO,36.0,81.0,104.0
2081,Agropecuaria,Producción Agropecuaria,Kimbiri,Cusco        ,Instituto,Pública,3.0,200.0,41.0,0.0,NO,36.0,86.0,54.0
2082,Enfermería,Enfermería Técnica,Kimbiri,Cusco        ,Instituto,Pública,3.0,200.0,50.0,0.0,NO,29.0,58.0,72.0
2083,Educación Inicial,Educación Inicial,Konrad Adenahuer,Cusco        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2084,Educación Primaria,Educación Primaria,Konrad Adenahuer,Cusco        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2085,Agropecuaria,Producción Agropecuaria,La Cantuta,Huancavelica ,Instituto,Pública,3.0,60.0,88.0,0.0,SI,31.0,35.0,20.0
2086,Ciencias de la Computación,Computación e Informática,La Católica,Lambayeque   ,Instituto,Privada,3.0,,56.0,0.0,SI,9.0,16.0,25.0
2087,Ingeniería Mecánica,Mecánica Automotriz,La Católica,Lambayeque   ,Instituto,Privada,3.0,,77.0,0.0,SI,14.0,18.0,38.0
2088,Enfermería,Enfermería Técnica,La Católica,Lambayeque   ,Instituto,Privada,3.0,,66.0,0.0,SI,10.0,15.0,21.0
2089,Ciencias de la Computación,Computación e Informática,La Católica - Chota,Cajamarca    ,Instituto,Privada,3.0,1720.0,60.0,0.0,SI,9.0,15.0,33.0
2090,Ingeniería Mecánica,Mecánica Automotriz,La Católica - Chota,Cajamarca    ,Instituto,Privada,3.0,1720.0,75.0,0.0,SI,15.0,20.0,40.0
2091,Odontología,Prótesis Dental,La Católica - Chota,Cajamarca    ,Instituto,Privada,3.0,1720.0,0.0,0.0,SI,0.0,0.0,0.0
2092,Enfermería,Enfermería Técnica,La Católica - Chota,Cajamarca    ,Instituto,Privada,3.0,1720.0,0.0,0.0,SI,0.0,0.0,0.0
2093,Tecnología Médica,Laboratorio Clínico,La Católica - Chota,Cajamarca    ,Instituto,Privada,3.0,1720.0,0.0,0.0,SI,0.0,0.0,0.0
2094,Farmacia y Bioquímica,Farmacia,La Católica - Chota,Cajamarca    ,Instituto,Privada,3.0,1720.0,72.0,0.0,SI,18.0,25.0,71.0
2095,Enfermería,Enfermería Técnica,La Florida Del Inca,Lima         ,Instituto,Privada,3.0,370.0,0.0,0.0,SI,0.0,0.0,0.0
2096,Farmacia y Bioquímica,Farmacia,La Florida Del Inca,Lima         ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0
2097,Educación Inicial,Educación Inicial,La Inmaculada,Arequipa     ,Instituto,Pública,5.0,500.0,100.0,0.0,SI,25.0,25.0,60.0
2098,Educación Primaria,Educación Primaria,La Inmaculada,Arequipa     ,Instituto,Pública,5.0,500.0,0.0,0.0,SI,0.0,0.0,6.0
2099,Educación Secundaria,Educación en Computación e Informática,La Inmaculada,Arequipa     ,Instituto,Pública,5.0,500.0,0.0,0.0,SI,0.0,0.0,58.0
2100,Educación Secundaria,Educación en Idiomas - Inglés,La Inmaculada,Arequipa     ,Instituto,Pública,5.0,500.0,100.0,0.0,SI,16.0,16.0,29.0
2101,Educación Física,Educación Física,La Inmaculada,Arequipa     ,Instituto,Pública,5.0,500.0,100.0,0.0,SI,15.0,15.0,15.0
2102,Secretariado,Secretariado Ejecutivo,La Inmaculada,Arequipa     ,Instituto,Pública,3.0,500.0,100.0,0.0,SI,25.0,25.0,51.0
2103,Ciencias de la Computación,Computación e Informática,La Inmaculada,Arequipa     ,Instituto,Pública,3.0,500.0,100.0,0.0,SI,27.0,27.0,43.0
2104,Ingeniería Textil y Confecciones,Diseño de Modas,La Inmaculada,Arequipa     ,Instituto,Pública,3.0,500.0,93.0,0.0,SI,14.0,15.0,33.0
2105,Enfermería,Enfermería Técnica,La Inmaculada,Arequipa     ,Instituto,Pública,3.0,500.0,100.0,0.0,SI,30.0,30.0,59.0
2106,Ciencias de la Computación,Computación e Informática,La Joya,Arequipa     ,Instituto,Pública,3.0,120.0,97.0,0.0,SI,42.0,43.0,164.0
2107,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,La Joya,Arequipa     ,Instituto,Pública,3.0,120.0,100.0,0.0,SI,23.0,23.0,61.0
2108,Ingeniería Mecánica,Mecánica Automotriz,La Joya,Arequipa     ,Instituto,Pública,3.0,120.0,100.0,0.0,SI,29.0,29.0,67.0
2109,Agropecuaria,Producción Agropecuaria,La Joya,Arequipa     ,Instituto,Pública,3.0,120.0,100.0,0.0,NO,24.0,24.0,79.0
2110,Educación Inicial,Educación Inicial,La Libertad,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2111,Educación Primaria,Educación Primaria,La Libertad,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2112,Educación Secundaria,Educación Secundaria - Comunicación,La Libertad,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2113,Educación Física,Educación Física,La Libertad,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2114,Idiomas,Idiomas,La Libertad,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
2115,Contabilidad y Finanzas,Contabilidad,La Merced,Junín        ,Instituto,Pública,3.0,200.0,60.0,0.0,SI,40.0,66.0,106.0
2116,Agropecuaria,Producción Agropecuaria,La Merced,Junín        ,Instituto,Pública,3.0,200.0,100.0,0.0,SI,24.0,24.0,50.0
2117,Enfermería,Enfermería Técnica,La Merced,Junín        ,Instituto,Pública,3.0,200.0,100.0,0.0,SI,40.0,40.0,76.0
2118,Contabilidad y Finanzas,Contabilidad,La Oroya,Junín        ,Instituto,Pública,3.0,360.0,95.0,0.0,SI,40.0,42.0,91.0
2119,Ciencias de la Computación,Computación e Informática,La Oroya,Junín        ,Instituto,Pública,3.0,360.0,93.0,0.0,SI,29.0,31.0,71.0
2120,Ingeniería Eléctrica,Electrotécnia Industrial,La Oroya,Junín        ,Instituto,Pública,3.0,360.0,91.0,0.0,SI,22.0,24.0,54.0
2121,Ingeniería Mecánica,Mecánica Automotriz,La Oroya,Junín        ,Instituto,Pública,3.0,360.0,83.0,0.0,SI,15.0,18.0,37.0
2122,Enfermería,Enfermería Técnica,La Oroya,Junín        ,Instituto,Pública,3.0,360.0,89.0,0.0,SI,17.0,19.0,35.0
2123,Idiomas,Traducción de Idiomas,La Pontificia,Ayacucho     ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0
2124,Administración de Empresas,Administración Bancaria y Financiera,La Pontificia,Ayacucho     ,Instituto,Privada,3.0,,89.0,0.0,SI,42.0,47.0,42.0
2125,Administración de Empresas,Administración de Negocios,La Pontificia,Ayacucho     ,Instituto,Privada,3.0,,64.0,0.0,SI,25.0,39.0,74.0
2126,Negocios Internacionales,Administración de Negocios Internacionales,La Pontificia,Ayacucho     ,Instituto,Privada,3.0,,60.0,0.0,SI,18.0,30.0,18.0
2127,Secretariado,Secretariado Ejecutivo,La Pontificia,Ayacucho     ,Instituto,Privada,3.0,,96.0,0.0,SI,31.0,32.0,96.0
2128,Contabilidad y Finanzas,Contabilidad Computarizada,La Pontificia,Ayacucho     ,Instituto,Privada,3.0,,97.0,0.0,SI,204.0,210.0,1167.0
2129,Ciencias de la Computación,Computación e Informática,La Pontificia,Ayacucho     ,Instituto,Privada,3.0,,87.0,0.0,SI,34.0,39.0,143.0
2130,Enfermería,Enfermería Técnica,La Pontificia,Ayacucho     ,Instituto,Privada,3.0,,94.0,0.0,SI,54.0,57.0,802.0
2131,Administración de Empresas,Administración Bancaria y Financiera,La Pontificia - Andahuaylas,Apurímac     ,Instituto,Privada,3.0,,100.0,0.0,SI,20.0,20.0,20.0
2132,Contabilidad y Finanzas,Contabilidad,La Pontificia - Andahuaylas,Apurímac     ,Instituto,Privada,3.0,,100.0,0.0,SI,20.0,20.0,36.0
2133,Ciencias de la Computación,Computación e Informática,La Pontificia - Andahuaylas,Apurímac     ,Instituto,Privada,3.0,,80.0,0.0,SI,16.0,20.0,40.0
2134,Enfermería,Enfermería Técnica,La Pontificia - Andahuaylas,Apurímac     ,Instituto,Privada,3.0,,90.0,0.0,SI,50.0,55.0,149.0
2135,Ciencias de la Computación,Computación e Informática,La Recoleta,Arequipa     ,Instituto,Pública,3.0,800.0,100.0,0.0,SI,22.0,22.0,37.0
2136,Ingeniería Mecánica,Mecánica de Producción,La Recoleta,Arequipa     ,Instituto,Pública,3.0,800.0,100.0,0.0,SI,18.0,18.0,39.0
2137,Educación Inicial,Educación Inicial,La Salle,Cusco        ,Instituto,Pública,5.0,330.0,71.0,0.0,SI,28.0,39.0,177.0
2138,Educación Inicial,Educación Inicial (Intercultural y Bilingüe),La Salle,Cusco        ,Instituto,Pública,5.0,495.0,0.0,0.0,SI,0.0,0.0,0.0
2139,Educación Primaria,Educación Primaria,La Salle,Cusco        ,Instituto,Pública,5.0,330.0,0.0,0.0,SI,0.0,0.0,28.0
2140,Educación Física,Educación Física,La Salle,Cusco        ,Instituto,Pública,5.0,495.0,0.0,0.0,SI,0.0,0.0,0.0
2141,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,La Salle,Cusco        ,Instituto,Pública,3.0,510.0,80.0,0.0,SI,40.0,50.0,152.0
2142,Contabilidad y Finanzas,Contabilidad,La Salle,Cusco        ,Instituto,Pública,3.0,340.0,64.0,0.0,SI,40.0,62.0,151.0
2143,Ciencias de la Computación,Computación e Informática,La Salle,Cusco        ,Instituto,Pública,3.0,525.0,67.0,0.0,SI,40.0,59.0,210.0
2144,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,La Salle,Cusco        ,Instituto,Pública,3.0,340.0,77.0,0.0,SI,24.0,31.0,121.0
2145,Ingeniería Civil,Construcción Civil,La Salle,Cusco        ,Instituto,Pública,3.0,370.0,0.0,0.0,SI,0.0,0.0,121.0
2146,Agropecuaria,Producción Agropecuaria,La Salle,Cusco        ,Instituto,Pública,3.0,330.0,77.0,0.0,SI,37.0,48.0,205.0
2147,Turismo,Guía Oficial de Turismo,La Salle,Cusco        ,Instituto,Pública,3.0,495.0,80.0,0.0,SI,40.0,50.0,151.0
2148,Educación Inicial,Educación Inicial,La Salle De Abancay,Apurímac     ,Instituto,Pública,5.0,260.0,40.0,0.0,SI,30.0,75.0,246.0
2149,Educación Primaria,Educación Primaria (Intercultural y Bilingüe),La Salle De Abancay,Apurímac     ,Instituto,Pública,5.0,260.0,0.0,0.0,SI,0.0,0.0,45.0
2150,Educación Física,Educación Física,La Salle De Abancay,Apurímac     ,Instituto,Pública,5.0,260.0,0.0,0.0,SI,0.0,0.0,45.0
2151,Ciencias de la Computación,Computación e Informática,La Salle De Abancay,Apurímac     ,Instituto,Pública,3.0,260.0,0.0,0.0,SI,0.0,0.0,13.0
2152,Contabilidad y Finanzas,Contabilidad,La Unión,Piura        ,Instituto,Pública,3.0,,100.0,0.0,SI,38.0,38.0,84.0
2153,Ciencias de la Computación,Computación e Informática,La Unión,Piura        ,Instituto,Pública,3.0,,100.0,0.0,SI,36.0,36.0,81.0
2154,Ingeniería Electrónica,Electrónica Industrial,La Unión,Piura        ,Instituto,Pública,3.0,,100.0,0.0,SI,24.0,24.0,56.0
2155,Agropecuaria,Administración de Negocios Agropecuarios,La Unión,Piura        ,Instituto,Pública,3.0,,100.0,0.0,SI,25.0,25.0,25.0
2156,Enfermería,Enfermería Técnica,La Unión,Piura        ,Instituto,Pública,3.0,,0.0,0.0,SI,0.0,0.0,38.0
2157,Agropecuaria,Producción Agropecuaria,Lagunas,Loreto       ,Instituto,Pública,3.0,160.0,100.0,0.0,SI,28.0,28.0,112.0
2158,Enfermería,Enfermería Técnica,Lagunas,Loreto       ,Instituto,Pública,3.0,160.0,100.0,0.0,SI,26.0,26.0,189.0
2159,Contabilidad y Finanzas,Contabilidad,Laredo,La Libertad  ,Instituto,Pública,3.0,200.0,13.0,0.0,SI,21.0,157.0,35.0
2160,Ciencias de la Computación,Computación e Informática,Laredo,La Libertad  ,Instituto,Pública,3.0,200.0,11.0,0.0,SI,11.0,98.0,22.0
2161,Enfermería,Enfermería Técnica,Laredo,La Libertad  ,Instituto,Pública,3.0,200.0,19.0,0.0,SI,24.0,123.0,28.0
2162,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Latino,Cusco        ,Instituto,Privada,3.0,0.0,58.0,0.0,NO,35.0,60.0,123.0
2163,Contabilidad y Finanzas,Contabilidad,Latino,Cusco        ,Instituto,Privada,3.0,0.0,80.0,0.0,NO,40.0,50.0,88.0
2164,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Gastronomía y Arte Culinario,Latino,Lima         ,Instituto,Privada,3.0,5500.0,0.0,0.0,SI,0.0,0.0,0.0
