id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled,duration_imputed_flag,monthly_income_imputed_flag,annual_cost_imputed_flag,admission_rate_imputed_flag,duration_years_imputed,monthly_income_imputed,annual_cost_imputed,admission_rate_imputed,income_score,admission_score,cost_score,duration_score
1,Educación Inicial,Educación Inicial,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,180.0,65.0,0.0,NO,30.0,46.0,30.0,False,True,False,False,5.0,1442.0,180.0,65.0,0.15399061989962143,0.65,0.49966095585045733,0.4
2,Educación Primaria,Educación Primaria,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,7.0,False,True,False,True,5.0,1955.0,90.0,66.0,0.3271496248900014,0.66,0.5658439121520568,0.4
3,Educación Secundaria,Educación en Computación e Informática,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,5.0,1748.0,90.0,94.0,0.26347257740347096,0.94,0.5658439121520568,0.4
4,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,180.0,0.0,0.0,SI,0.0,0.0,6.0,False,True,False,True,5.0,1748.0,180.0,94.0,0.26347257740347096,0.94,0.49966095585045733,0.4
5,Educación Secundaria,Educación Secundaria - Ciencias Sociales,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,5.0,1748.0,90.0,94.0,0.26347257740347096,0.94,0.5658439121520568,0.4
6,Educación Secundaria,Educación Secundaria - Comunicación,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,5.0,1748.0,90.0,94.0,0.26347257740347096,0.94,0.5658439121520568,0.4
7,Ciencias de la Computación,Computación e Informática,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,3.0,90.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,2156.0,90.0,89.0,0.382833791612999,0.89,0.5658439121520568,0.8
8,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,3.0,220.0,0.0,0.0,NO,0.0,0.0,22.0,False,True,False,True,3.0,2067.0,220.0,100.0,0.35884679732577063,1.0,0.480443760956917,0.8
9,Contabilidad y Finanzas,Contabilidad,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,49.0,49.0,116.0,False,True,False,True,3.0,1729.5,240.0,80.0,0.25741906734584247,0.8,0.4721054876915388,0.8
10,Ciencias de la Computación,Computación e Informática,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,48.0,48.0,117.0,False,True,False,True,3.0,2156.0,240.0,80.0,0.382833791612999,0.8,0.4721054876915388,0.8
11,Ingeniería Mecánica,Mecánica Automotriz,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,38.0,38.0,82.0,False,True,False,True,3.0,2135.0,240.0,80.0,0.3772643691945335,0.8,0.4721054876915388,0.8
12,Agropecuaria,Producción Agropecuaria,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,15.0,15.0,45.0,False,True,False,True,3.0,2366.0,240.0,80.0,0.4357217993832695,0.8,0.4721054876915388,0.8
13,Enfermería,Enfermería Técnica,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,38.0,38.0,88.0,False,True,False,True,3.0,1332.0,240.0,80.0,0.10885192773622748,0.8,0.4721054876915388,0.8
14,Contabilidad y Finanzas,Contabilidad,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,33.0,0.0,NO,40.0,121.0,255.0,False,True,False,False,3.0,1729.5,240.0,33.0,0.25741906734584247,0.33,0.4721054876915388,0.8
15,Ciencias de la Computación,Computación e Informática,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,480.0,95.0,0.0,NO,41.0,43.0,192.0,False,True,False,True,3.0,2156.0,480.0,80.0,0.382833791612999,0.8,0.4055921340082511,0.8
16,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,100.0,0.0,NO,37.0,37.0,190.0,False,True,False,True,3.0,2067.0,240.0,80.0,0.35884679732577063,0.8,0.4721054876915388,0.8
