id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled,duration_imputed_flag,monthly_income_imputed_flag,annual_cost_imputed_flag,admission_rate_imputed_flag,duration_years_imputed,monthly_income_imputed,annual_cost_imputed,admission_rate_imputed,income_score,admission_score,cost_score,duration_score
11,Ingeniería Mecánica,Mecánica Automotriz,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,38.0,38.0,82.0,False,True,False,False,3.0,2135.0,240.0,100.0,0.1961341671404207,0.004071661237785016,0.9926221948970181,0.9811320754716981
12,Agropecuaria,Producción Agropecuaria,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,15.0,15.0,45.0,False,True,False,False,3.0,2366.0,240.0,100.0,0.23990903922683343,0.004071661237785016,0.9926221948970181,0.9811320754716981
13,Enfermería,Enfermería Técnica,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,38.0,38.0,88.0,False,True,False,False,3.0,1332.0,240.0,100.0,0.04396437369717643,0.004071661237785016,0.9926221948970181,0.9811320754716981
14,Contabilidad y Finanzas,Contabilidad,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,33.0,0.0,NO,40.0,121.0,255.0,False,True,False,False,3.0,1729.5,240.0,33.0,0.1192912639757438,0.0013436482084690554,0.9926221948970181,0.9811320754716981
15,Ciencias de la Computación,Computación e Informática,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,480.0,95.0,0.0,NO,41.0,43.0,192.0,False,True,False,False,3.0,2156.0,480.0,95.0,0.20011370096645822,0.0038680781758957655,0.9852443897940363,0.9811320754716981
16,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,100.0,0.0,NO,37.0,37.0,190.0,False,True,False,False,3.0,2067.0,240.0,100.0,0.18324805760848967,0.004071661237785016,0.9926221948970181,0.9811320754716981
17,Ingeniería Mecánica,Mecánica Automotriz,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,58.0,0.0,NO,41.0,70.0,195.0,False,True,False,False,3.0,2135.0,240.0,58.0,0.1961341671404207,0.0023615635179153093,0.9926221948970181,0.9811320754716981
18,Ingeniería Civil,Construcción Civil,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,48.0,0.0,NO,39.0,80.0,206.0,False,True,False,False,3.0,2510.0,240.0,48.0,0.26719727117680503,0.001954397394136808,0.9926221948970181,0.9811320754716981
19,Agropecuaria,Producción Agropecuaria,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,480.0,100.0,0.0,NO,37.0,37.0,210.0,False,True,False,False,3.0,2366.0,480.0,100.0,0.23990903922683343,0.004071661237785016,0.9852443897940363,0.9811320754716981
20,Enfermería,Enfermería Técnica,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,480.0,62.0,0.0,NO,37.0,59.0,209.0,False,True,False,False,3.0,1332.0,480.0,62.0,0.04396437369717643,0.0025244299674267103,0.9852443897940363,0.9811320754716981
21,Tecnología Médica,Laboratorio Clínico,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,94.0,0.0,NO,35.0,37.0,199.0,False,True,False,False,3.0,1434.5,240.0,94.0,0.0633882888004548,0.003827361563517915,0.9926221948970181,0.9811320754716981
22,Ingeniería Mecánica,Mantenimiento de Maquinaria Pesada,9 De Mayo,Junín        ,Instituto,Pública,3.0,200.0,62.0,0.0,SI,40.0,64.0,106.0,False,True,False,False,3.0,2135.0,200.0,62.0,0.1961341671404207,0.0025244299674267103,0.9938518290808485,0.9811320754716981
23,Ingeniería Textil y Confecciones,Diseño de Modas,9 De Mayo,Junín        ,Instituto,Pública,3.0,200.0,100.0,0.0,SI,16.0,16.0,29.0,False,True,False,False,3.0,2138.0,200.0,100.0,0.19670267197271177,0.004071661237785016,0.9938518290808485,0.9811320754716981
24,Agropecuaria,Producción Agropecuaria,9 De Mayo,Junín        ,Instituto,Pública,3.0,220.0,100.0,0.0,SI,22.0,22.0,37.0,False,True,False,False,3.0,2366.0,220.0,100.0,0.23990903922683343,0.004071661237785016,0.9932370119889333,0.9811320754716981
25,Secretariado,Secretariado Ejecutivo,Abaco,Piura        ,Instituto,Privada,3.0,,75.0,0.0,SI,25.0,33.0,25.0,False,True,True,False,3.0,1660.0,880.0,75.0,0.10612090202766723,0.0030537459283387623,0.9729480479557332,0.9811320754716981
26,Ciencias de la Computación,Computación e Informática,Abaco,Piura        ,Instituto,Privada,3.0,,92.0,1796.0,SI,53.0,57.0,53.0,False,False,True,False,3.0,1796.0,300.0,92.0,0.1318931210915293,0.003745928338762215,0.9907777436212727,0.9811320754716981
27,Ciencias de la Computación,Computación e Informática,Abaco - Chiclayo,Lambayeque   ,Instituto,Privada,3.0,,82.0,0.0,SI,51.0,62.0,51.0,False,True,True,False,3.0,2156.0,300.0,82.0,0.20011370096645822,0.0033387622149837134,0.9907777436212727,0.9811320754716981
28,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración Turística,Abaco - Cusco,Cusco        ,Instituto,Privada,3.0,1940.0,90.0,0.0,SI,96.0,106.0,229.0,False,True,False,False,3.0,2087.0,1940.0,90.0,0.1870380898237635,0.0036644951140065146,0.94036274208423,0.9811320754716981
29,Ciencias de la Computación,Computación e Informática,Abaco - Cusco,Cusco        ,Instituto,Privada,3.0,1940.0,89.0,0.0,SI,82.0,92.0,185.0,False,True,False,False,3.0,2156.0,1940.0,89.0,0.20011370096645822,0.0036237785016286646,0.94036274208423,0.9811320754716981
30,Administración de Empresas,Administración de Empresas,Abaco - Piura,Piura        ,Instituto,Privada,3.0,,100.0,0.0,SI,75.0,75.0,75.0,False,True,True,False,3.0,1985.0,1665.0,100.0,0.16770892552586697,0.004071661237785016,0.9488164770980634,0.9811320754716981
31,Secretariado,Secretariado Ejecutivo,Abaco - Piura,Piura        ,Instituto,Privada,3.0,,100.0,0.0,SI,25.0,25.0,113.0,False,True,True,False,3.0,1660.0,880.0,100.0,0.10612090202766723,0.004071661237785016,0.9729480479557332,0.9811320754716981
32,Ciencias de la Computación,Computación e Informática,Abaco - Piura,Piura        ,Instituto,Privada,3.0,,100.0,0.0,SI,275.0,275.0,328.0,False,True,True,False,3.0,2156.0,300.0,100.0,0.20011370096645822,0.004071661237785016,0.9907777436212727,0.9811320754716981
33,Ingeniería Industrial,Salud y Seguridad Ocupacional,Abaco - Piura,Piura        ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0,False,True,True,True,3.0,2947.0,5331.0,86.0,0.3500094750805382,0.003501628664495114,0.8361205041500154,0.9811320754716981
34,Ciencias de la Computación,Computación e Informática,Abancay,Apurímac     ,Instituto,Pública,3.0,240.0,68.0,0.0,SI,40.0,58.0,197.0,False,True,False,False,3.0,2156.0,240.0,68.0,0.20011370096645822,0.002768729641693811,0.9926221948970181,0.9811320754716981
35,Ingeniería Civil,Construcción Civil,Abancay,Apurímac     ,Instituto,Pública,3.0,600.0,22.0,0.0,SI,40.0,181.0,255.0,False,True,False,False,3.0,2510.0,600.0,22.0,0.26719727117680503,0.0008957654723127036,0.9815554872425454,0.9811320754716981
36,Agropecuaria,Producción Agropecuaria,Abancay,Apurímac     ,Instituto,Pública,3.0,130.0,80.0,0.0,SI,40.0,50.0,218.0,False,True,False,False,3.0,2366.0,130.0,80.0,0.23990903922683343,0.003257328990228013,0.9960036889025515,0.9811320754716981
37,Enfermería,Enfermería Técnica,Abancay,Apurímac     ,Instituto,Pública,3.0,480.0,37.0,0.0,SI,40.0,106.0,281.0,False,True,False,False,3.0,1332.0,480.0,37.0,0.04396437369717643,0.001506514657980456,0.9852443897940363,0.9811320754716981
38,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Abc Informática,Lima         ,Instituto,Privada,3.0,2200.0,32.0,0.0,SI,8.0,25.0,8.0,False,True,False,False,3.0,2087.0,2200.0,32.0,0.1870380898237635,0.0013029315960912053,0.9323701198893329,0.9811320754716981
39,Turismo,Guía Oficial de Turismo,Abc Informática,Lima         ,Instituto,Privada,3.0,2200.0,50.0,0.0,SI,10.0,20.0,10.0,False,True,False,False,3.0,1672.5,2200.0,50.0,0.10848967216221338,0.002035830618892508,0.9323701198893329,0.9811320754716981
